,anio,region,prov,mes,f_BIODIESEL
600,2012,7,18,2,0
601,2012,1,4,2,0
602,2012,0,0,2,0
603,2012,0,0,2,0
604,2012,3,9,2,0
605,2012,4,0,2,1
606,2012,4,0,2,1
607,2012,1,4,2,0
608,2012,4,0,2,1
609,2012,4,0,2,1
610,2012,6,10,2,0
611,2012,7,19,2,0
612,2012,3,14,2,0
613,2012,8,3,2,0
614,2012,8,3,2,0
615,2012,1,4,2,0
616,2012,7,18,2,0
617,2012,2,12,2,0
618,2012,7,6,2,0
619,2012,3,14,2,0
620,2012,2,12,2,0
621,2012,3,14,2,1
622,2012,5,17,2,0
623,2012,3,14,2,0
624,2012,3,14,2,0
625,2012,3,9,2,0
626,2012,5,0,2,1
627,2012,1,4,2,0
628,2012,7,13,2,0
629,2012,5,17,2,1
630,2012,7,13,2,0
631,2012,3,14,2,0
632,2012,5,0,3,1
633,2012,5,0,3,1
634,2012,8,3,3,0
635,2012,7,8,3,0
636,2012,3,9,3,0
637,2012,7,19,3,0
638,2012,1,4,3,0
639,2012,3,9,3,0
640,2012,1,4,3,0
641,2012,1,4,3,0
642,2012,2,12,3,0
643,2012,2,12,3,0
644,2012,3,9,3,0
645,2012,3,14,3,0
646,2012,8,3,3,0
647,2012,7,19,3,0
648,2012,3,9,3,0
649,2012,1,4,3,0
650,2012,7,19,3,0
651,2012,3,9,3,1
652,2012,3,9,3,1
653,2012,7,6,3,0
654,2012,1,4,3,0
655,2012,7,18,3,0
656,2012,1,4,3,0
657,2012,0,0,3,0
658,2012,0,0,3,0
659,2012,3,9,3,0
660,2012,4,0,3,1
661,2012,4,0,3,1
662,2012,1,4,3,0
663,2012,4,0,3,1
664,2012,4,0,3,1
665,2012,6,10,3,0
666,2012,7,19,3,0
667,2012,3,14,3,0
668,2012,8,3,3,0
669,2012,8,3,3,0
670,2012,1,4,3,0
671,2012,7,18,3,0
672,2012,2,12,3,0
673,2012,7,6,3,0
674,2012,3,14,3,0
675,2012,2,12,3,0
676,2012,3,14,3,1
677,2012,5,17,3,0
678,2012,3,14,3,0
679,2012,3,14,3,0
680,2012,3,9,3,0
681,2012,5,0,3,1
682,2012,1,4,3,0
683,2012,7,13,3,0
684,2012,5,17,3,1
685,2012,7,13,3,0
686,2012,3,14,3,0
687,2012,5,0,4,1
688,2012,5,0,4,1
689,2012,8,3,4,0
690,2012,7,8,4,0
691,2012,3,9,4,0
692,2012,7,19,4,0
693,2012,1,4,4,0
694,2012,3,9,4,0
695,2012,1,4,4,0
696,2012,1,4,4,0
697,2012,2,12,4,0
698,2012,2,12,4,0
699,2012,3,9,4,0
700,2012,3,14,4,0
701,2012,8,3,4,0
